contract_transaction_unique_key,contract_award_unique_key,award_id_piid,parent_award_id_piid,modification_number,solicitation_identifier,usaspending_permalink,prime_award_base_transaction_description,transaction_description,naics_code,naics_description,product_or_service_code,product_or_service_code_description,federal_action_obligation,total_dollars_obligated,current_total_value_of_award,base_and_all_options_value,recipient_name,recipient_parent_name,funding_agency_name,awarding_agency_name,awarding_sub_agency_name,extent_competed,type_of_set_aside,number_of_offers_received,award_type,action_date,period_of_performance_start_date,period_of_performance_potential_end_date,last_modified_date,nlp_target_text,funding_utilization_rate,nlp_clean_text,log_current_award_value,log_potential_ceiling_value,contract_duration_days,days_until_recompete
8900_8900_89303021FIM000067_P00034_89303018ACF000005_0,CONT_AWD_89303021FIM000067_8900_89303018ACF000005_8900,89303021FIM000067,89303018ACF000005,P00034,89303021QIM000013,https://www.usaspending.gov/award/CONT_AWD_89303021FIM000067_8900_89303018ACF000005_8900/,BPA ORDER ISSUED UNDER MASTER BPA NUMBER 89303018ACF000005 FOR THE EMERGING AND ADVANCED TECHNOLOGIES BUSINESS ARCHITECTURE AND GOVERNANCE SUPPORT SERVICES.,THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE INVOICE APPROVAL AUTHORITY AND PROGRAM OFFICIAL.,541211.0,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,R499,SUPPORT- PROFESSIONAL: OTHER,0.0,5524674.4,8790291.87,0.0,ERNST & YOUNG LLP,ERNST & YOUNG LLP,Department of Energy,Department of Energy,Department of Energy,FULL AND OPEN COMPETITION,,1,BPA CALL,2025-10-09,2021-01-19,2026-01-18,2025-10-09,BPA ORDER ISSUED UNDER MASTER BPA NUMBER 89303018ACF000005 FOR THE EMERGING AND ADVANCED TECHNOLOGIES BUSINESS ARCHITECTURE AND GOVERNANCE SUPPORT SERVICES. | SUPPORT- PROFESSIONAL: OTHER,0.6285,bpa order issued under master bpa number acf for the emerging and advanced technologies business architecture and governance support services support professional other,6.944003344892434,0.0,1825,-156
6800_6800_68HERC22F0552_P00007_68HERC22A0016_0,CONT_AWD_68HERC22F0552_6800_68HERC22A0016_6800,68HERC22F0552,68HERC22A0016,P00007,,https://www.usaspending.gov/award/CONT_AWD_68HERC22F0552_6800_68HERC22A0016_6800/,WIFIA TRANSACTION FINANCIAL ADVISORY SERVICES MULTI-AWARD I,R499 - WIFIA TRANSACTION FINANCIAL ADVISORY SERVICES MULTI-AWARD I,541211.0,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,R499,SUPPORT- PROFESSIONAL: OTHER,350000.0,1041705.94,1489000.0,350000.0,ERNST & YOUNG LLP,ERNST & YOUNG LLP,Environmental Protection Agency,Environmental Protection Agency,Environmental Protection Agency,FULL AND OPEN COMPETITION,,-1,BPA CALL,2025-10-31,2022-11-01,2026-05-31,2025-10-31,WIFIA TRANSACTION FINANCIAL ADVISORY SERVICES MULTI-AWARD I | SUPPORT- PROFESSIONAL: OTHER,0.6996,wifia transaction financial advisory services multi award i support professional other,6.1728949894206355,5.54406928518988,1307,-23
4732_4732_47QFDA24F0002_P00007_GS00F290CA_0,CONT_AWD_47QFDA24F0002_4732_GS00F290CA_4732,47QFDA24F0002,GS00F290CA,P00007,47QFDA23Q0043,https://www.usaspending.gov/award/CONT_AWD_47QFDA24F0002_4732_GS00F290CA_4732/,HHS OIG FINANCIAL STATEMENT AUDIT SUPPORT SERVICES,HHS OIG FINANCIAL STATEMENT AUDIT SUPPORT SERVICES,541211.0,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,R703,SUPPORT- MANAGEMENT: ACCOUNTING,-0.26,28657173.72,28929932.16,0.0,ERNST & YOUNG LLP,ERNST & YOUNG LLP,Department of Health and Human Services,General Services Administration,Federal Acquisition Service,FULL AND OPEN COMPETITION,,1,DELIVERY ORDER,2025-12-18,2024-01-08,2029-01-07,2025-12-18,HHS OIG FINANCIAL STATEMENT AUDIT SUPPORT SERVICES | SUPPORT- MANAGEMENT: ACCOUNTING,0.9906,hhs oig financial statement audit support services support management accounting,7.461347430250931,0.0,1826,929
6925_6925_693JJ324F00298N_P00002_693JJ320A000006_0,CONT_AWD_693JJ324F00298N_6925_693JJ320A000006_6925,693JJ324F00298N,693JJ320A000006,P00002,,https://www.usaspending.gov/award/CONT_AWD_693JJ324F00298N_6925_693JJ320A000006_6925/,THIS BPA CALL ORDER PROCURES INFORMATION ASSURANCE SUPPORT UNDER BPA NO 693JJ320A000006 FOR CYBER SECURITY INFORMATION PROTECTION PROGRAM SUPPORT (CSIPS) TASK AREA 1 AS A RESULT OF TOPR CSIPS-1-OST-24-0001. THIS WILL BE A BASE TWELVE MONTHS PLUS TWO,INVOICE CLAUSE UPDATE,541519.0,OTHER COMPUTER RELATED SERVICES,DJ01,IT AND TELECOM - SECURITY AND COMPLIANCE SUPPORT SERVICES (LABOR),0.0,3625336.76,3625336.76,0.0,ERNST & YOUNG LLP,ERNST & YOUNG LLP,Department of Transportation,Department of Transportation,Federal Highway Administration,FULL AND OPEN COMPETITION,,1,BPA CALL,2026-03-06,2024-08-30,2027-08-29,2026-03-06,THIS BPA CALL ORDER PROCURES INFORMATION ASSURANCE SUPPORT UNDER BPA NO 693JJ320A000006 FOR CYBER SECURITY INFORMATION PROTECTION PROGRAM SUPPORT (CSIPS) TASK AREA 1 AS A RESULT OF TOPR CSIPS-1-OST-24-0001. THIS WILL BE A BASE TWELVE MONTHS PLUS TWO | IT AND TELECOM - SECURITY AND COMPLIANCE SUPPORT SERVICES (LABOR),1.0,this bpa call order procures information assurance support under bpa no jj a for cyber security information protection program support csips task area as a result of topr csips ost this will be a base twelve months plus two it and telecom security and compliance support services labor,6.559348474485171,0.0,1094,432
1501_1501_15JPSS24F00000193_P00002_15JPSS20A00000060_0,CONT_AWD_15JPSS24F00000193_1501_15JPSS20A00000060_1501,15JPSS24F00000193,15JPSS20A00000060,P00002,,https://www.usaspending.gov/award/CONT_AWD_15JPSS24F00000193_1501_15JPSS20A00000060_1501/,FY24 A-123 EVIDENCE ACT,FY24 A-123 EVIDENCE ACT,541211.0,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,R704,SUPPORT- MANAGEMENT: AUDITING,-12897.13,702503.05,702503.05,-12897.13,ERNST & YOUNG LLP,ERNST & YOUNG LLP,Department of Justice,Department of Justice,"Offices, Boards and Divisions",FULL AND OPEN COMPETITION,,-1,BPA CALL,2026-01-30,2024-01-08,2025-01-07,2026-01-30,FY24 A-123 EVIDENCE ACT | SUPPORT- MANAGEMENT: AUDITING,1.0,evidence act support management auditing,5.846648832331682,0.0,365,-532
8900_8900_89303022FIM000087_P00030_89303018ACF000005_0,CONT_AWD_89303022FIM000087_8900_89303018ACF000005_8900,89303022FIM000087,89303018ACF000005,P00030,89303022QIM000028,https://www.usaspending.gov/award/CONT_AWD_89303022FIM000087_8900_89303018ACF000005_8900/,THE PURPOSE OF THIS BPA CALL IS FOR FOLLOW-ON SUPPLY CHAIN RISK MANAGEMENT (SCRM) SUPPORT SERVICES FOR OCIO.,"THE PURPOSE OF THIS MODIFICATION IS TO DECREASE THE CEILING ON CLIN 30004 BY ($260,866.98) AND INCREASE THE CEILING ON CLIN 30001 BY $260,866.98.",541211.0,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,R499,SUPPORT- PROFESSIONAL: OTHER,0.0,17932688.44,19505092.56,0.0,ERNST & YOUNG LLP,ERNST & YOUNG LLP,Department of Energy,Department of Energy,Department of Energy,FULL AND OPEN COMPETITION,,2,BPA CALL,2026-02-12,2022-07-19,2026-07-19,2026-02-12,THE PURPOSE OF THIS BPA CALL IS FOR FOLLOW-ON SUPPLY CHAIN RISK MANAGEMENT (SCRM) SUPPORT SERVICES FOR OCIO. | SUPPORT- PROFESSIONAL: OTHER,0.9194,the purpose of this bpa call is for follow on supply chain risk management scrm support services for ocio support professional other,7.290148037831315,0.0,1461,26
4732_4732_47QFDA21F0011_P00016_GS00F290CA_0,CONT_AWD_47QFDA21F0011_4732_GS00F290CA_4732,47QFDA21F0011,GS00F290CA,P00016,,https://www.usaspending.gov/award/CONT_AWD_47QFDA21F0011_4732_GS00F290CA_4732/,GINNIE MAE VALUATION MODELING,DE-OBLIGATE UNUSED FUNDS FROM OPTION YEAR 3 & RETURN FUNDS GINNIE MAE VALUATION MODELING,541211.0,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,R710,SUPPORT- MANAGEMENT: FINANCIAL,-181951.43,13129297.94,15946638.94,-181951.43,ERNST & YOUNG LLP,ERNST & YOUNG LLP,Department of Housing and Urban Development,General Services Administration,Federal Acquisition Service,FULL AND OPEN COMPETITION,,5,DELIVERY ORDER,2025-11-10,2020-12-11,2025-12-10,2025-11-10,GINNIE MAE VALUATION MODELING | SUPPORT- MANAGEMENT: FINANCIAL,0.8233,ginnie mae valuation modeling support management financial,7.202669188381078,0.0,1825,-195
4732_4732_47QFDA24F0002_P00008_GS00F290CA_0,CONT_AWD_47QFDA24F0002_4732_GS00F290CA_4732,47QFDA24F0002,GS00F290CA,P00008,47QFDA23Q0043,https://www.usaspending.gov/award/CONT_AWD_47QFDA24F0002_4732_GS00F290CA_4732/,HHS OIG FINANCIAL STATEMENT AUDIT SUPPORT SERVICES,HHS OIG FINANCIAL STATEMENT AUDIT SUPPORT SERVICES OPTION YEAR 2 EXERCISE OF FFP CLINS 2003 AND 2004,541211.0,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,R703,SUPPORT- MANAGEMENT: ACCOUNTING,1671415.92,30328589.64,30601348.08,0.0,ERNST & YOUNG LLP,ERNST & YOUNG LLP,Department of Health and Human Services,General Services Administration,Federal Acquisition Service,FULL AND OPEN COMPETITION,,1,DELIVERY ORDER,2025-12-30,2024-01-08,2029-01-07,2025-12-30,HHS OIG FINANCIAL STATEMENT AUDIT SUPPORT SERVICES | SUPPORT- MANAGEMENT: ACCOUNTING,0.9911,hhs oig financial statement audit support services support management accounting,7.485740573052973,0.0,1826,929
1549_-NONE-_15F06722A0000175_P00007_-NONE-_-NONE-,CONT_IDV_15F06722A0000175_1549,15F06722A0000175,GS00F290CA,P00007,15F06722Q0000007,https://www.usaspending.gov/award/CONT_IDV_15F06722A0000175_1549/,ADMINISTRATIVE AND PROFESSIONAL SUPPORT SERVICES,ADMINISTRATIVE AND PROFESSIONAL SUPPORT SERVICES,541211.0,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,R499,SUPPORT- PROFESSIONAL: OTHER,0.0,0.0,0.0,0.0,ERNST & YOUNG LLP,ERNST & YOUNG LLP,Department of Justice,Department of Justice,Federal Bureau of Investigation,FULL AND OPEN COMPETITION,,10,,2026-02-19,2022-04-18,1970-01-01,2026-04-22,ADMINISTRATIVE AND PROFESSIONAL SUPPORT SERVICES | SUPPORT- PROFESSIONAL: OTHER,0.0,administrative and professional support services support professional other,0.0,0.0,-19100,-20627
1549_1549_15F06725F0000894_P00002_15F06722A0000175_0,CONT_AWD_15F06725F0000894_1549_15F06722A0000175_1549,15F06725F0000894,15F06722A0000175,P00002,15F06725Q0000149,https://www.usaspending.gov/award/CONT_AWD_15F06725F0000894_1549_15F06722A0000175_1549/,SUPPORT ACTIVITIES FOR THE REALIGNMENT OF FBI RESOURCES IN SUPPORT OF THE FBI'S STRATEGIC REALIGNMENT INITIATIVE.,SUPPORT ACTIVITIES FOR THE REALIGNMENT OF FBI RESOURCES IN SUPPORT OF THE FBI'S STRATEGIC REALIGNMENT INITIATIVE.,541211.0,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,R799,SUPPORT- MANAGEMENT: OTHER,0.0,1582762.42,1582762.42,0.0,ERNST & YOUNG LLP,ERNST & YOUNG LLP,Department of Justice,Department of Justice,Federal Bureau of Investigation,FULL AND OPEN COMPETITION,,4,BPA CALL,2026-02-19,2025-06-21,2030-12-20,2026-04-22,SUPPORT ACTIVITIES FOR THE REALIGNMENT OF FBI RESOURCES IN SUPPORT OF THE FBI'S STRATEGIC REALIGNMENT INITIATIVE. | SUPPORT- MANAGEMENT: OTHER,1.0,support activities for the realignment of fbi resources in support of the fbi s strategic realignment initiative support management other,6.199416004523149,0.0,2008,1641
